securityname,first_in_portfolio,issuer_type,weight,price: 20221231,price: 20220930,price: 20220630,price: 20220331,price: 20211231,held_directly_or_through,held_by_that_many_active_funds,held_by_that_many_passive_funds,held_by_that_many_brands,issuer,issueAmount,total_usd_issuer_debt_amount,mean_issuer_issue_size,issuer_issue_count,marketvalue,holdingpercOfDeal,issue_date,RegistrationType,holdingType,debtType,debtRankType,primarySector,mortgageType,cmoClassType,cmoType,collateralType,crt,original_coupon_rate,effectiveduration,effectivematurity,maturitydate,modifiedduration,numberofshares,ratinganalytics_ratinglevel,yieldtomaturity,last_reported_factor,last_reported_factor_as_of_date,cmooriginaldealamount,state,country_of_risk,currency,em_dev,NAICSClassification,industry,muniSecurityType,muniUseOfProceeds,GreenBondIndicator,green_bond_third_party,convertible_indicator,conditional_conversion_indicator,conversion_feature_type,convertible_initiator,conversion_option_type,conversion_timing_type,convert_frequency_type,cusip,isin,apexid,bucket
Virginia Electric and Power Company 3.75%,20220630,Corporation,0.26,95.59,94.52,99.05,,,held_directly,212,73,54,Virginia Electric and Power Company,," $3,700,000,000 "," $616,666,667 ", $6 ," $2,480,536.14 ",,2022-05-31,SEC Registered,Bond - Corporate Bond,,,Utilities,,,,,NA,,3.92,4.37,2027-05-15,3.97," 2,594,960 ",BBB,4.9221,,,,VA,US,USD,DEV,Other Electric Power Generation,Utilities,,,,,NA,NA,,,,,,927804GH1,US927804GH15,455115851,bucket_51_max
Roper Technologies Inc 3.8%,20180630,Corporation,0.08,95.93,95.2,97.69,102.52,109.68,held_directly,240,100,54,Roper Technologies Inc,," $582,249,000 "," $582,249,000 ", $1 ," $786,608.37 ",,2016-12-19,SEC Registered,Bond - Corporate Bond,,,Technology,,,,,NA,,3.54,3.96,2026-12-15,3.62," 819,987 ",BBB,4.986,,,,DE,US,USD,DEV,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial",Computer and Electronic Product Manufacturing,,,,,NA,NA,,,,,,776743AD8,US776743AD85,114378318,bucket_51_max
Emera US Finance LP 3.55%,20180630,Corporation,0.08,93.79,92.99,95.85,100.03,106.34,held_directly,274,85,54,Emera US Finance LP,,,,," $787,838.18 ",,2017-01-17,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,3.15,3.46,2026-06-15,3.19," 839,963 ",BBB,5.5877,,,,DE,US,USD,DEV,Miscellaneous Intermediation,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,,,,NA,NA,,,,,,29103DAJ5,US29103DAJ54,97888502,bucket_51_max
Fortinet Inc 1%,20210331,Corporation,0.12,87.65,86.16,88.04,91.13,96.97,held_directly,202,79,54,Fortinet Inc,,,,," $1,126,321.01 ",,2021-03-05,SEC Registered,Bond - Corporate Bond,,,Technology,,,,,NA,,3.06,3.21,2026-03-15,3.08," 1,285,022 ",BBB,5.2763,,,,DE,US,USD,DEV,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,Computer and Electronic Product Manufacturing,,,,,NA,NA,,,,,,34959EAA7,US34959EAA73,367307967,bucket_51_max
"Tennessee Merger Sub, Inc. 6.375%",20180630,Corporation,0.00,57.78,74.29,69.98,89.92,94.35,High Yield Bond Portfolio,246,16,54,"Tennessee Merger Sub, Inc.",,,,," $44,939.70 ",,2017-02-01,Exempt Issue,Bond - Corporate Bond,,,Industrials,,,,,NA,,1.58,2.09,2025-02-01,1.64," 77,775 ",Below B,37.3501,,,,DE,US,USD,DEV,Temporary Help Services,Administrative and Support Services,,,,,NA,NA,,,,,,88047PAA2,US88047PAA21,117782205,bucket_51_max
Sempra 6%,20180630,Corporation,0.14,101.5,97.36,105.95,122.62,137.87,held_directly,253,91,55,Sempra,," $4,100,000,000 "," $585,714,286 ", $7 ," $1,319,591.12 ",,2009-10-08,SEC Registered,Bond - Corporate Bond,,,Utilities,,,,,NA,,10.45,16.79,2039-10-15,10.53," 1,300,031 ",BBB,5.8993,,,,CA,US,USD,DEV,Natural Gas Distribution,Utilities,,,,,NA,NA,,,,,,816851AP4,US816851AP42,9665020,bucket_51_max
AstraZeneca PLC 4%,20200630,Corporation,0.25,96.18,94.68,99.68,105.42,112.41,held_directly,199,90,55,AstraZeneca PLC,," $1,800,000,000 "," $900,000,000 ", $2 ," $2,404,571.44 ",,2018-08-17,SEC Registered,Bond - Corporate Bond,,,Healthcare,,,,,NA,,5.12,6.05,2029-01-17,5.29," 2,500,034 ",A,4.7748,,,,,GB,USD,DEV,Pharmaceutical Preparation Manufacturing,Chemical Manufacturing,,,,,NA,NA,,,,,,046353AT5,US046353AT52,192523629,bucket_51_max
Bausch Health Companies Inc 7.25%,20190630,Corporation,0.00,48.44,38.47,54.4,85.48,99.35,High Yield Bond Portfolio,160,10,55,Bausch Health Companies Inc," $750,000,000 "," $36,719,969,523 "," $1,669,089,524 ", $22 ," $47,094.93 ",0.01,2019-05-23,Exempt Issue,Bond - Corporate Bond,Note,Senior,Healthcare,,,,,NA,7.25,4.12,6.41,2029-05-30,4.14," 97,218 ",Below B,23.0761,,,,QC,CA,USD,DEV,Pharmaceutical Preparation Manufacturing,Chemical Manufacturing,,,,,No,NA,,,,,,071734AF4,US071734AF49,240168201,bucket_51_max
Global Medical Response Incorporated 6.5%,20200930,Corporation,0.02,71.73,84.07,89.24,99.4,101.26,High Yield Bond Portfolio,198,26,55,Global Medical Response Incorporated,,,,," $183,050.84 ",,2020-10-02,Exempt Issue,Bond - Corporate Bond,,,Industrials,,,,,NA,,2.24,2.75,2025-10-01,2.29," 255,198 ",B,20.5027,,,,DE,US,USD,DEV,All Other Transit and Ground Passenger Transportation,Transit and Ground Passenger Transportation,,,,,NA,NA,,,,,,37960BAA3,US37960BAA35,341677918,bucket_51_max
Keurig Dr Pepper Inc 4.417%,20190630,Investment Company/Fund,0.16,98.96,98.47,100.88,103.45,108.9,held_directly,205,106,55,Keurig Dr Pepper Inc," $998,300,000 "," $28,439,198,000 "," $812,548,514 ", $35 ," $1,514,091.03 ",0.15,2019-05-31,SEC Registered,Bond - Corporate Bond,Note,Senior,Consumer Defensive,,,,,NA,4.417,2.19,2.40,2025-05-25,2.25," 1,530,023 ",BBB,4.9213,,,,DE,US,USD,DEV,Soft Drink Manufacturing,Beverage and Tobacco Product Manufacturing,,,,,No,NA,,,,,,49271VAH3,US49271VAH33,244298013,bucket_51_max
IHO Verwaltungs GmbH 6.375%,20190630,Corporation,0.01,84.68,86.23,87.2,98.7,107.7,High Yield Bond Portfolio,213,10,55,IHO Verwaltungs GmbH," $400,000,000 "," $3,486,151,079 "," $581,025,180 ", $6 ," $131,722.90 ",0.04,2019-06-06,Exempt Issue,Bond - Corporate Bond,Note,Senior Secured,Industrials,,,,,NA,6.375,,,2029-05-15,," 155,549 ",BB,,,,,,DE,USD,DEV,Office Administrative Services,Administrative and Support Services,,,,,No,NA,,,,,,44963BAD0,US44963BAD01,241564626,bucket_51_max
Telefonica Emisiones S.A.U. 5.52%,20190331,Corporation,0.22,84.03,79.66,93.03,112.83,130.25,held_directly,261,94,56,Telefonica Emisiones S.A.U.,," $3,953,611,409 "," $988,402,852 ", $4 ," $2,125,971.12 ",,2019-03-01,SEC Registered,Bond - Corporate Bond,,,Communication Services,,,,,NA,,12.38,26.17,2049-03-01,12.60," 2,529,960 ",BBB,6.8798,,,,,ES,USD,DEV,Telecommunications Resellers,Telecommunications,,,,,NA,NA,,,,,,87938WAX1,US87938WAX11,228325502,bucket_51_max
"AutoNation, Inc. 4.75%",20200630,Corporation,0.10,89.45,88.07,94.18,104.43,114.4,held_directly,322,68,56,"AutoNation, Inc."," $500,000,000 "," $500,000,000 "," $500,000,000 ", $1 ," $966,066.71 ",0.22,2020-05-22,SEC Registered,Bond - Corporate Bond,Note,Senior,Consumer Cyclical,,,,,NA,4.75,6.00,7.42,2030-06-01,6.06," 1,080,043 ",BBB,6.6109,,,,DE,US,USD,DEV,New Car Dealers,Motor Vehicle and Parts Dealer,,,,,No,NA,,,,,,05329WAQ5,US05329WAQ50,314321286,bucket_51_max
Graphic Packaging International LLC 3.5%,20200930,Limited Partnership,0.03,85.6,82.44,84.09,92.19,99.39,High Yield Bond Portfolio,159,14,56,Graphic Packaging International LLC," $350,000,000 "," $2,578,206,521 "," $368,315,217 ", $7 ," $239,247.82 ",0.08,2020-08-28,Exempt Issue,Bond - Corporate Bond,Note,Senior,Basic Materials,,,,,NA,3.5,5.27,6.17,2029-03-01,5.37," 279,502 ",BB,6.4434,,,,DE,US,USD,DEV,Paperboard Mills,Paper Manufacturing,,,,,No,NA,,,,,,38869AAC1,US38869AAC18,328615445,bucket_51_max
Coeur Mining Inc 5.125%,20210331,Corporation,0.02,78.17,75.76,69.43,87.01,92.5,High Yield Bond Portfolio,188,18,56,Coeur Mining Inc," $375,000,000 "," $1,499,775,000 "," $299,955,000 ", $5 ," $227,994.20 ",0.08,2021-03-01,Exempt Issue,Bond - Corporate Bond,Note,Senior,Basic Materials,,,,,NA,5.125,4.84,6.13,2029-02-15,4.96," 291,655 ",B,10.0032,,,,DE,US,USD,DEV,Gold Ore Mining,Mining (except Oil and Gas),,,,,No,NA,,,,,,192108BC1,US192108BC19,366803605,bucket_51_max
Rocket Software Inc 6.5%,20210331,Corporation,0.05,78.96,74.2,72.47,90.95,97.89,High Yield Bond Portfolio,210,21,56,Rocket Software Inc,,,,," $514,332.53 ",,2021-02-02,Exempt Issue,Bond - Corporate Bond,,,Technology,,,,,NA,,4.60,6.13,2029-02-15,4.73," 651,362 ",Below B,11.3903,,,,DE,US,USD,DEV,Software Publishers,Publishing Industries (except Internet),,,,,NA,NA,,,,,,77314EAA6,US77314EAA64,362937773,bucket_51_max
Comcast Corporation 3.15%,20190930,Corporation,0.15,92.5,90.81,95.41,99.97,107.45,held_directly,199,94,56,Comcast Corporation,," $9,674,934,000 "," $1,209,366,750 ", $8 ," $1,387,514.73 ",,2017-08-07,SEC Registered,Bond - Corporate Bond,,,Communication Services,,,,,NA,,4.53,5.13,2028-02-15,4.64," 1,500,003 ",A,4.8597,,,,PA,US,USD,DEV,Cable and Other Subscription Programming,Broadcasting (except Internet),,,,,NA,NA,,,,,,20030NCA7,US20030NCA72,137656068,bucket_51_max
Lam Research Corporation 3.75%,20220630,Corporation,0.18,97.07,96,99.88,102.85,108.97,held_directly,231,103,56,Lam Research Corporation,,,,," $1,694,873.79 ",,2019-03-04,SEC Registered,Bond - Corporate Bond,,,Technology,,,,,NA,,2.89,3.21,2026-03-15,2.98," 1,745,994 ",A,4.7843,,,,DE,US,USD,DEV,Semiconductor and Related Device Manufacturing,Computer and Electronic Product Manufacturing,,,,,NA,NA,,,,,,512807AS7,US512807AS72,228065888,bucket_51_max
"Verisk Analytics, Inc. 4%",20180630,Corporation,0.02,97.29,96.92,99.3,102.17,107.67,held_directly,218,107,56,"Verisk Analytics, Inc."," $900,000,000 "," $2,150,000,000 "," $537,500,000 ", $4 ," $194,594.52 ",0.02,2015-05-15,SEC Registered,Bond - Corporate Bond,Note,Senior,Technology,,,,,NA,4,2.23,2.46,2025-06-15,2.30," 200,014 ",BBB,5.2289,,,,DE,US,USD,DEV,"Data Processing, Hosting, and Related Services","Data Processing, Hosting, and Related Services",,,,,No,NA,,,,,,92345YAD8,US92345YAD85,67780731,bucket_51_max
Danaher Corporation 2.6%,20201231,Corporation,0.17,64.23,61.78,70.63,82.87,94.83,held_directly,296,103,57,Danaher Corporation," $1,000,000,000 "," $4,709,571,394 "," $672,795,913 ", $7 ," $1,602,543.09 ",0.25,2020-10-06,SEC Registered,Bond - Corporate Bond,Note,Senior,Technology,,,,,NA,2.6,17.19,27.75,2050-10-01,17.19," 2,494,939 ",BBB,5.0376,,,,DE,US,USD,DEV,Other Measuring and Controlling Device Manufacturing,Computer and Electronic Product Manufacturing,,,,,No,NA,,,,,,235851AV4,US235851AV47,342756570,bucket_51_max
Cenovus Energy Inc 3.75%,20210930,Corporation,0.24,70.67,68.01,76.11,89.79,100.35,held_directly,357,75,57,Cenovus Energy Inc,," $8,418,548,389 "," $765,322,581 ", $11 ," $2,300,226.40 ",,2021-09-13,SEC Registered,Bond - Corporate Bond,,,Energy,,,,,NA,,15.05,29.13,2052-02-15,15.21," 3,254,964 ",BBB,5.9032,,,,AB,CA,USD,DEV,Support Activities for Oil and Gas Operations,Support Activities for Mining,,,,,NA,NA,,,,,,15135UAX7,US15135UAX72,405068330,bucket_51_max
Oneok Inc. 5.2%,20210331,Corporation,0.27,83.75,79.89,88.87,106.82,121.43,held_directly,238,95,57,Oneok Inc.," $450,000,000 "," $10,050,000,000 "," $591,176,471 ", $17 ," $2,583,651.37 ",0.69,2018-07-02,SEC Registered,Bond - Corporate Bond,Note,Senior,Utilities,,,,,NA,5.2,12.61,25.54,2048-07-15,12.91," 3,085,022 ",BBB,6.5558,,,,OK,US,USD,DEV,Natural Gas Distribution,Utilities,,,,,No,NA,,,,,,682680AV5,US682680AV54,182701526,bucket_51_max
MPLX LP 5.2%,20200630,Master Limited Partnership,0.20,85.52,81.25,90.17,106.42,123.54,held_directly,208,85,57,MPLX LP,," $11,131,789,000 "," $530,085,190 ", $21 ," $1,937,147.27 ",,2020-05-20,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,12.91,24.92,2047-12-01,12.91," 2,265,009 ",BBB,6.4074,,,,DE,US,USD,DEV,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and","Professional, Scientific, and Technical Services",,,,,NA,NA,,,,,,55336VBP4,US55336VBP40,309364838,bucket_51_max
MetLife Inc. 10.75%,20180630,Corporation,0.14,133.09,130.63,132.84,145.89,169.58,held_directly,233,70,57,MetLife Inc.," $500,000,000 "," $18,370,121,944 "," $706,543,152 ", $26 ," $1,330,943.25 ",0.2,2009-07-08,SEC Registered,Bond - Corporate Bond,Debenture - Unsecured,Junior Subordinated,Financial Services,,,,,NA,10.75,8.56,16.59,2069-08-01,9.26," 1,000,025 ",BBB,7.3161,,,,DE,US,USD,DEV,Direct Life Insurance Carriers,Insurance Carriers and Related Activities,,,,,No,NA,,,,,,59156RAV0,US59156RAV06,9359913,bucket_51_max
"American Builders & Contractors Supply Co., Inc. 3.875%",20210930,Corporation,0.02,81.87,78.52,80.09,93.45,99.65,High Yield Bond Portfolio,261,18,57,"American Builders & Contractors Supply Co., Inc.",," $1,900,000,000 "," $475,000,000 ", $4 ," $198,987.46 ",,2021-05-13,Exempt Issue,Bond - Corporate Bond,,,Basic Materials,,,,,NA,,5.72,6.88,2029-11-15,5.79," 243,046 ",B,7.2978,,,,TX,US,USD,DEV,"Roofing, Siding, and Insulation Material Merchant Wholesalers","Merchant Wholesalers, Durable Good",,,,,NA,NA,,,,,,024747AG2,US024747AG26,377880621,bucket_51_max
Sempra 3.7%,20220630,Corporation,0.47,91.36,89.43,94.01,100.57,,held_directly,279,65,57,Sempra," $500,000,000 "," $4,100,000,000 "," $585,714,286 ", $7 ," $4,476,430.71 ",0.98,2022-03-24,SEC Registered,Bond - Corporate Bond,Note,Unsubordinated,Utilities,,,,,NA,3.7,5.35,6.25,2029-04-01,5.46," 4,899,996 ",BBB,5.385,,,,CA,US,USD,DEV,Natural Gas Distribution,Utilities,,,,,No,NA,,,,,,816851BP3,US816851BP33,444435838,bucket_51_max
Embecta Corp. 6.75%,20220630,Corporation,0.02,90.95,92.81,90.37,100.44,,High Yield Bond Portfolio,291,8,57,Embecta Corp.," $200,000,000 "," $1,400,000,000 "," $350,000,000 ", $4 ," $185,689.07 ",0.1,2022-03-31,Exempt Issue,Bond - Corporate Bond,Note,Senior Secured,Healthcare,,,,,NA,6.75,5.02,7.13,2030-02-15,5.46," 204,158 ",B,8.6064,,,,DE,US,USD,DEV,Surgical and Medical Instrument Manufacturing,Miscellaneous Manufacturing,,,,,No,NA,,,,,,29082KAB1,US29082KAB17,444962149,bucket_51_max
"Merck & Co., Inc 1.7%",20220630,Corporation,0.51,88.81,87.45,90.92,94.79,100.75,held_directly,224,132,57,"Merck & Co., Inc",," $5,275,000,000 "," $879,166,667 ", $6 ," $4,817,751.58 ",,2021-12-10,SEC Registered,Bond - Corporate Bond,,,Healthcare,,,,,NA,,4.17,4.44,2027-06-10,4.19," 5,424,954 ",A,4.5486,,,,NJ,US,USD,DEV,Pharmaceutical Preparation Manufacturing,Chemical Manufacturing,,,,,NA,NA,,,,,,58933YBC8,US58933YBC84,424203281,bucket_51_max
Jefferies Group LLC/Jefferies Group Capital Finance Inc 4.85%,20180630,Limited Partnership,0.24,98.88,95.73,100.12,105.01,113.54,held_directly,205,102,57,Jefferies Group LLC/Jefferies Group Capital Finance Inc,," $266,692,000 "," $24,244,727 ", $11 ," $2,224,829.30 ",,2017-01-17,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,3.53,4.04,2027-01-15,3.62," 2,249,953 ",BBB,5.2006,,,,DE,US,USD,DEV,Securities Brokerage,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,,,,NA,NA,,,,,,47233JAG3,US47233JAG31,117318400,bucket_51_max
Boxer Parent Company Inc 9.125%,20210630,Corporation,0.02,94.5,96.46,93.57,103.25,104.56,High Yield Bond Portfolio,137,17,57,Boxer Parent Company Inc,,,,," $149,289.91 ",,2020-06-01,Exempt Issue,Bond - Corporate Bond,,,Technology,,,,,NA,,2.47,3.17,2026-03-01,2.66," 157,980 ",Below B,11.2873,,,,DE,US,USD,DEV,Software Publishers,Publishing Industries (except Internet),,,,,NA,NA,,,,,,103186AC6,US103186AC61,313057261,bucket_51_max
ConocoPhillips Co. 2.4%,20220630,Corporation,0.51,95.13,94.69,96.6,98.92,,held_directly,244,102,57,ConocoPhillips Co.,," $5,314,183,000 "," $885,697,167 ", $6 ," $4,851,429.58 ",,2022-03-08,SEC Registered,Bond - Corporate Bond,,,Energy,,,,,NA,,2.04,2.18,2025-03-07,2.09," 5,100,011 ",A,4.8143,,,,DE,US,USD,DEV,Support Activities for Oil and Gas Operations,Support Activities for Mining,,,,,NA,NA,,,,,,20826FAU0,US20826FAU03,437015030,bucket_51_max
ENEL Finance International N.V. 3.5%,20190930,Corporation,0.27,87.66,86.36,92.53,98.93,107,held_directly,141,20,58,ENEL Finance International N.V.,," $12,689,137,042 "," $906,366,932 ", $14 ," $2,586,016.40 ",,2017-10-06,Exempt Issue,Bond - Corporate Bond,,,Industrials,,,,,NA,,4.62,5.27,2028-04-06,4.67," 2,949,981 ",BBB,6.3283,,,,,NL,USD,DEV,Offices of Other Holding Companies,Management of Companies and Enterprises,,,,,NA,NA,,,,,,29278GAF5,US29278GAF54,142994936,bucket_51_max
USIS Merger Sub Inc. 6.875%,20180630,Corporation,0.06,96.49,96.25,96.64,100.5,100.86,High Yield Bond Portfolio,316,19,58,USIS Merger Sub Inc.,,,,," $605,063.08 ",,2017-04-18,Exempt Issue,Bond - Corporate Bond,,,Financial Services,,,,,NA,,1.97,2.33,2025-05-01,2.11," 627,058 ",Below B,8.6335,,,,DE,US,USD,DEV,Direct Life Insurance Carriers,Insurance Carriers and Related Activities,,,,,NA,NA,,,,,,91739VAA6,US91739VAA61,126318767,bucket_51_max
Sky Limited 3.75%,20180630,Corporation,0.41,97.68,97.64,99.78,101.72,106.56,held_directly,185,23,58,Sky Limited,,,,," $3,902,296.48 ",,2014-09-16,Exempt Issue,Bond - Corporate Bond,,,Consumer Cyclical,,,,,NA,,1.61,1.71,2024-09-16,1.63," 3,995,046 ",A,5.2232,,,,,GB,USD,DEV,Television Broadcasting,Broadcasting (except Internet),,,,,NA,NA,,,,,,111013AL2,US111013AL21,52691017,bucket_51_max
UnitedHealth Group Inc. 3.875%,20220630,Corporation,0.17,78.8,74.78,86.61,103.55,119.87,held_directly,251,111,59,UnitedHealth Group Inc.,,,,," $1,575,960.17 ",,2019-07-25,SEC Registered,Bond - Corporate Bond,,,Financial Services,,,,,NA,,17.14,36.62,2059-08-15,17.24," 2,000,040 ",A,5.2127,,,,MN,US,USD,DEV,Direct Health and Medical Insurance Carriers,Insurance Carriers and Related Activities,,,,,NA,NA,,,,,,91324PDV1,US91324PDV13,252596589,bucket_51_max
"Regeneron Pharmaceuticals, Inc. 2.8%",20200930,Corporation,0.30,62.45,60.67,68.08,80.2,94.13,held_directly,234,91,59,"Regeneron Pharmaceuticals, Inc.",,,,," $2,833,871.35 ",,2020-08-12,SEC Registered,Bond - Corporate Bond,,,Healthcare,,,,,NA,,16.38,27.71,2050-09-15,16.43," 4,537,956 ",BBB,5.4804,,,,NY,US,USD,DEV,Pharmaceutical Preparation Manufacturing,Chemical Manufacturing,,,,,NA,NA,,,,,,75886FAF4,US75886FAF45,327772283,bucket_51_max
Biogen Inc 3.15%,20200630,Corporation,0.22,65.43,64.71,68.78,82.17,96.32,held_directly,329,122,59,Biogen Inc," $1,500,000,000 "," $7,409,900,000 "," $1,481,980,000 ", $5 ," $2,070,913.26 ",0.21,2020-04-30,SEC Registered,Bond - Corporate Bond,Note,Senior,Healthcare,,,,,NA,3.15,15.77,27.33,2050-05-01,15.68," 3,165,002 ",BBB,5.6882,,,,DE,US,USD,DEV,Biological Product (except Diagnostic) Manufacturing,Chemical Manufacturing,,,,,No,NA,,,,,,09062XAG8,US09062XAG88,310461489,bucket_51_max
Boston Properties Limited Partnership 3.2%,20180630,Limited Partnership,0.24,95.72,95.62,97.62,100.04,104.78,held_directly,233,105,59,Boston Properties Limited Partnership,," $1,000,000,000 "," $1,000,000,000 ", $1 ," $2,278,184.33 ",,2017-12-04,SEC Registered,Bond - Corporate Bond,,,Real Estate,,,,,NA,,1.87,2.04,2025-01-15,1.94," 2,379,964 ",BBB,5.4821,,,,DE,US,USD,DEV,Lessors of Residential Buildings and Dwellings,Real Estate,,,,,NA,NA,,,,,,10112RAZ7,US10112RAZ73,147252383,bucket_51_max
Equifax Inc. 2.6%,20191231,Corporation,0.36,95.39,95.05,96.56,98.86,103.5,held_directly,231,96,59,Equifax Inc.,,,,," $3,410,276.02 ",,2019-11-19,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,1.83,1.92,2024-12-01,1.83," 3,575,027 ",BBB,5.0664,,,,GA,US,USD,DEV,All Other Business Support Services,Administrative and Support Services,,,,,NA,NA,,,,,,294429AQ8,US294429AQ85,274802578,bucket_51_max
IHO Verwaltungs GmbH 4.75%,20180630,Corporation,0.03,86.69,85.22,86.09,98.14,102.06,High Yield Bond Portfolio,163,14,59,IHO Verwaltungs GmbH,," $3,486,151,079 "," $581,025,180 ", $6 ," $301,310.74 ",,2016-09-22,Exempt Issue,Bond - Corporate Bond,,,Industrials,,,,,NA,,,,2026-09-15,," 347,555 ",BB,,,,,,DE,USD,DEV,Office Administrative Services,Administrative and Support Services,,,,,NA,NA,,,,,,80627DAC0,US80627DAC02,107648538,bucket_51_max
"Smithfield Foods, Inc. 3%",20200930,Corporation,0.36,76.35,77.34,83.02,90.9,99.75,held_directly,190,20,60,"Smithfield Foods, Inc.",,,,," $3,408,289.39 ",,2020-09-15,Exempt Issue,Bond - Corporate Bond,,,Consumer Defensive,,,,,NA,,6.57,7.79,2030-10-15,6.63," 4,464,028 ",BBB,7.0281,,,,VA,US,USD,DEV,Meat Processed from Carcasses,Food Manufacturing,,,,,NA,NA,,,,,,832248BC1,US832248BC11,332556983,bucket_51_max
The Boeing Company 2.95%,20200331,Corporation,0.19,84.91,80.52,83.31,92.79,101.97,held_directly,229,95,60,The Boeing Company,,,,," $1,800,164.84 ",,2019-07-31,SEC Registered,Bond - Corporate Bond,,,Industrials,,,,,NA,,6.08,7.09,2030-02-01,6.20," 2,120,045 ",BBB,5.596,,,,DE,US,USD,DEV,Aircraft Manufacturing,Transportation Equipment Manufacturing,,,,,NA,NA,,,,,,097023CN3,US097023CN34,253589181,bucket_51_max
S&P Global Inc 4.25%,20220331,Corporation,0.40,95.67,94.03,98.99,105.4,,held_directly,246,84,60,S&P Global Inc,," $7,349,252,000 "," $734,925,200 ", $10 ," $3,812,330.80 ",,2022-03-02,Exempt Issue,Bond - Corporate Bond,,,Financial Services,,,,,NA,,5.36,6.33,2029-05-01,5.46," 3,984,991 ",A,5.0983,,,,NY,US,USD,DEV,Investment Advice,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",,,,,NA,NA,,,,,,78409VAZ7,US78409VAZ76,430228392,bucket_51_max
Global Payments Inc 4.8%,20180630,Corporation,0.05,97.42,96.67,100.13,105.07,111.17,held_directly,237,103,60,Global Payments Inc," $750,000,000 "," $14,350,000,000 "," $844,117,647 ", $17 ," $433,556.96 ",0.06,2016-03-17,SEC Registered,Bond - Corporate Bond,Note,Senior,,,,,,NA,4.8,2.86,3.25,2026-04-01,2.96," 445,045 ",BBB,5.7191,,,,GA,US,USD,DEV,,,,,,,No,NA,,,,,,891906AC3,US891906AC37,90453817,bucket_51_max
International Flavors & Fragrances Inc. 1.23%,20210630,Corporation,0.43,88.43,87.71,90.33,92.69,97.89,held_directly,157,24,60,International Flavors & Fragrances Inc.,," $11,900,000,000 "," $1,190,000,000 ", $10 ," $4,112,027.17 ",,2021-05-14,Exempt Issue,Bond - Corporate Bond,,,Basic Materials,,,,,NA,,2.62,2.75,2025-10-01,2.64," 4,650,048 ",BBB,5.8817,,,,NY,US,USD,DEV,All Other Basic Organic Chemical Manufacturing,Chemical Manufacturing,,,,,NA,NA,,,,,,459506AN1,US459506AN18,369110784,bucket_51_max
AssuredPartners Inc 7%,20180630,Corporation,0.04,96.87,92.53,94.06,99.5,100.85,High Yield Bond Portfolio,232,23,60,AssuredPartners Inc,," $1,100,000,000 "," $550,000,000 ", $2 ," $397,875.35 ",,2017-08-02,Exempt Issue,Bond - Corporate Bond,,,Financial Services,,,,,NA,,2.04,2.62,2025-08-15,2.34," 410,747 ",Below B,8.4179,,,,DE,US,USD,DEV,Insurance Agencies and Brokerages,Insurance Carriers and Related Activities,,,,,NA,NA,,,,,,04624VAA7,US04624VAA70,136987834,bucket_51_max
Crown Castle Inc. 3.2%,20191231,REIT,0.26,96.63,96.83,98.02,100.2,104.38,held_directly,219,102,60,Crown Castle Inc.," $750,000,000 "," $21,349,870,000 "," $853,994,800 ", $25 ," $2,415,639.77 ",0.33,2017-08-01,SEC Registered,Bond - Corporate Bond,Note,Senior,Real Estate,,,,,NA,3.2,1.55,1.67,2024-09-01,1.60," 2,499,972 ",BBB,5.3773,,,,DE,US,USD,DEV,Lessors of Residential Buildings and Dwellings,Real Estate,,,,,No,NA,,,,,,22822VAG6,US22822VAG68,136987159,bucket_51_max
